# VanillaKoreanCore NPC dictionary v1.0.0 - exact English name to Korean display name
# Generated by matching creature entry IDs. UTF-8, TAB separated.
"Auntie" Bernice Stonefield	숙모 버니스 스톤필드
Brother Crowley	수사 크롤리
Brother Danil	수사 다닐
Brother Elias	엘리아스 형제
Brother Eric Vesper	수사 에릭 베스퍼
Brother Graham	브로스엘 그라함
Brother Joshua	수사 조슈아
Brother Karman	수사 칼먼
Brother Kristoff	수사 크리스토프
Brother Malach	수사 말락
Brother Neals	수사 닐스
Brother Nimetz	수사 니메츠
Brother Paxton	수사 팩스턴
Brother Ravenoak	수사 레이븐오크
Brother Raymond	브로스엘 르에이몬드
Brother Sammuel	수사 사무엘
Brother Sarno	수사 세르노
Brother Wilhelm	수사 빌헬름
Brother Wystan	브로스엘 잇탄
Brotna Whizzbake	브롯나 우잇즈바케
Brown Fox	갈색 여우
Brown Horse	갈색마
Brown Prairie Dog	갈색 땅다람쥐
Brown Ram	갈색 산양
Brown Recluse	갈색 은둔자
Brown Riding Bear	갈색 탑승용 곰
Brown Riding Horse	갈색마
Brown Riding Hound	갈색 탑승용 사냥개
Brown Riding Kodo	길들인 갈색 코도
Brown Riding Ram	갈색 산양
Brown Riding Wolf	길들인 갈색 늑대
Brown Skeletal Horse	갈색 해골마
Brown Snake	갈색나무뱀
Brown Zhevra	브라운 제브라
Bruegal Ironknuckle	브루갈 아이언너클
Bruford of Stormwind	스톰윈드의 브루폴드
Bruhm Cinderfist	브루흐므 킨델핏트
Bruiser Rakklan	투사 라클란
Bruiser Yevo	투사 예보
Brum Bamse	브룸 밤세
Brumeran	브룸랜
Brumn Winterhoof	부룸 윈터후프
Brundah Cliffbrow	브룬다 클리프브로우
Brune Shunpike	브룬 션파이크
Brunilda Wildstout	브루닐다 와일드스타우트
Bruno	브루노
Brushtail Adder	붓꼬리 살무사
Brushtail Cobra	붓꼬리 코브라
Brutan Palehoof	브루탄 페일후프
Brutish Bouncer	브루티시 브아우느켈
Brutish Felguard	브루티시 지옥수호병
Brutus	브루터스
Bruuk Barleybeard	브루크 발리비어드
Bryan Cross	브라이언 크로스
Bryllia Ironbrand	브릴리아 아이언브랜드
Bubbling Swamp Ooze	부글거리는 늪수액괴물
Bubulo Acerbus	버블로 에이커버스
Buliwyf Stonehand	불리위프 스톤헤드
Bulkrek Ragefist	벌크렉 레이지피스트
Bullfrog	황소개구리
Bulor Wheathoof	불로르 위트후프
Bulrok Cloudhoof	불록 크르아우드흐우프
Bulrug	불루그
Bulum	불룸
Bumper	범퍼
Bunthen Plainswind	분덴 플레인즈윈드
Burbik Gearspanner	부르빅 기어스패너
Burdened Ram	부담 산양
Burdrak Harglhelm	부르드락 하글헬름
Burgle Eye	외눈박이
Burkrum	벌크럼
Burly Goldbristle Boar	불리 황금가시 멧돼지
Burly Rockjaw Trogg	힘센 바위턱트로그
Burning Adrenaline Trigger	불타는 아드레날린 트리거
Burning Blade Acolyte	불타는 칼날단 수행사제
Burning Blade Adept	불타는 칼날단 마법사
Burning Blade Apprentice	불타는 칼날단 수습흑마법사
Burning Blade Augur	불타는 칼날단 예언자
Burning Blade Bruiser	불타는 칼날단 투사
Burning Blade Crusher	불타는 칼날단 전사
Burning Blade Cultist	불타는 칼날단 이교도
Burning Blade Fanatic	불타는 칼날단 광신자
Burning Blade Felsworn	불타는 칼날단 악마추종자
Burning Blade Invoker	불타는 칼날단 기원사
Burning Blade Neophyte	불타는 칼날단 수련사
Burning Blade Nightmare	불타는 칼날단 나이트메어
Burning Blade Reaver	불타는 칼날단 약탈자
Burning Blade Seer	불타는 칼날단 현자
Burning Blade Shadowmage	불타는 칼날단 흑마법사
Burning Blade Summoner	불타는 칼날단 소환사
Burning Blade Thug	불타는 칼날단 암살단원
Burning Blade Toxicologist	불타는 칼날단 독술사
Burning Destroyer	화염의 파괴자
Burning Exile	떠도는 불의 정령
Burning Felguard	불타는 지옥군단병
Burning Felhound	불타는 지옥사냥개
Burning Imp	불타는 임프
Burning Ravager	화염의 약탈자
Burning Servant	불타는 하수인
Burning Spirit	불타는 정령
Burnt Monk	그을린 몬크
Burrowing Thundersnout	천둥도마뱀
Burth	부르스
Buru Egg	부루의 알
Buru Egg Trigger	부루 알 트리거
Buru the Gorger	먹보 부루
Buru the Gorger Transform Visual	먹보 부루
Bustus "The Rascal"	"악동" 버스투스
Butcher Pete	도살자 피트
Butcher Reeves	부처 리브스
Buthok Cloudhorn	부톡 클라우드혼
Buttercup	버터컵
Butterscotch	버터스카치
Buzzard	대머리수리
Buzzek Bracketswing	부젝 브라켓스윙
Byancie	비얀시
C'Thun	쑨
C'Thun Portal	쑨의 차원문
C'Thun Transformation Visual	쑨
Cackling Impling	카크리응 임프리응
Cadaverous Worm	송장벌레
Cadmus Shacklebolt	캐드무스 섀클볼트
Caedakar the Vicious	타락의 캘다카르
Caelestrasz	캘레스트라즈
Caelestrasz Dragon Form	캘레스트라즈
Caelyb	캘리브
Caer Darrow Cannoneer	카엘 다로우 포병
Caer Darrow Citizen	카엘 다로우 시민
Caer Darrow Guardsman	카엘 다로우 경비병
Caer Darrow Horseman	카엘 다로우 기마병
Caged Dwarf Male	우리에 갇힌 드워프 남자
Caged Rabbit	우리에 갇힌 토끼
Caged Sheep	우리에 갇힌 양
Caged Squirrel	우리에 갇힌 다람쥐
Caged Toad	우리에 갇힌 개구리
Cain Firesong	케인 파이어송
Cairne Bloodhoof	케른 블러드후프
Caitlin Grassman	케이틀린 그라스만
Calaire Solarguard	칼에이레 소랄구알드
Calandrath	캘랜드라스
Calaran Windseeker	칼라란 윈드시커
Caledra Dawnbreeze	칼레드라 돈브리즈
Calhir Dawnchaser	칼히르 던체이서
Calina Highwing	카리나 히그이응
Caliph Scorpidsting	칼리프 스콜피드스팅
Callon Sunsail	칼론 순스에이르
Calor	칼로
Calvin Montague	캘빈 몬테그
Camerick Jongleur	카메릭 종글뢰르
Cameron	카메론
Camp Chef Velden	캠프 셰프 벨덴
Camp Leader Gethenor	캠프 리더 게테노르
Camp Mojache Brave	모자케 야영지 용사
Canaga Earthcaller	카나가 어스콜러
Canal Frenzy	운하 프렌지
Canary	카나리아
Cannibal Ghoul	식인 구울
Cannon Master Willey	포병대장 윌리
CannonBall	포탄
Cannoneer Breck	포병 브렉
Cannoneer Darlug	포병 달루그
Cannoneer Dazzcrank	캐논니어 대즈크랭크
Cannoneer Gaxbruise	포병 겍스브루이스
Cannoneer Hancock	포수 핸콕
Cannoneer Rileson	포수 라일슨
Cannoneer Smythe	포병 스마이드
Cannoneer Whessan	포병 훼산
Canos Clearwood	카노스 클리어우드
Captain Andrews	부대장 앤드류스
Captain Armando Ossex	부대장 알만도 오식스
Captain Balinda Stonehearth	부대장 발린다 스톤하스
Captain Barlgruf	바를그루프 선장
Captain Beld	부대장 벨트
Captain Blackanvil	연대장 블랙앤빌
Captain Blackeye	선장 블랙아이
Captain Danuvin	정찰대장 다누빈
Captain Dargol	대장 다르골
Captain Dirgehammer	대장 더지해머
Captain Drenn	부대장 드렌
Captain Evencane	대장 이븐케인
Captain Faelon	파엘론 선장
Captain Fairmount	경비대장 페어마운트
Captain Flat Tusk	호위대장 납작엄니
Captain Galvangar	부대장 갈반가르
Captain Garran Vimes	사령관 개런 바임스
Captain Gerogg Hammertoe	경비대장 지로그 해머토
Captain Grayson	선장 그레이슨
Captain Greenskin	선장 그린스킨
Captain Halyndor	선장 할린도르
Captain Harker	대장 하커
Captain Haroldson	선장 해롤드슨
Captain Hecklebury Smotts	선장 허클베리 스모츠
Captain Ironhill	부대장 아이언힐
Captain Ironhoof	아이언후프 선장
Captain James Darrowmont	대장 제임스 대로우몬트
Captain Joq	선장 조크
Captain Keelhaul	선장 킬하울
Captain Kromcrush	대장 크롬크러쉬
Captain Melrache	대장 멜라케
Captain Nials	부대장 나이얼스
Captain O'Neal	대장 오닐
Captain Pentigast	대장 펜티가스트
Captain Perrine	대장 페린
Captain Placeholder	선장 하트
Captain Qeez	부대장 퀴즈
Captain Redpath	경비대장 레드패스
Captain Rothynn	선장 로신
Captain Rugelfuss	경비대장 루겔퍼스
Captain Salt Tooth	선장 솔트투스
Captain Saltbeard	솔트비어드 선장
Captain Screech	스크리치 선장
Captain Shatterskull	부대장 쉐터스컬
Captain Silas	사일러스 선장
Captain Snowbeard	선장 스노우비어드
Captain Steelgut	선장 스틸구트
Captain Stillwater	선장 스틸워터
Captain Stoutfist	경비대장 스타우트피스트
Captain Thalo'thas Brightsun	선장 탈로타스 브라이트썬
Captain Thomas	부대장 토마스
Captain Tuubid	부대장 투비드
Captain Vachon	대장 바콘
Captain Vanessa Beltis	선장 바네사 벨티스
Captain Velari Shadelain	벨라리 섀들레인 선장
Captain Veller	벨러 선장
Captain Wallace Cross	대장 월리스 크로스
Captain Xurrem	부대장 수렘
Captive Abomination	사로잡힌 누더기골렘
Captive Ghoul	사로잡힌 구울
Captive Zombie	사로잡힌 좀비
Captured Arko'narin	사로잡힌 아르코나린
Captured Farmer	사로잡힌 농부
Captured Felwood Ooze	사로잡은 악령의숲 수액괴물
Captured Hakkari Zealot	사로잡힌 학카르부족 광신도
Captured Leper Gnome	사로잡힌 오염된 노움
Captured Mountaineer	산악경비대 포로
Captured Rabid Thistle Bear	사로잡힌 광포한 엉겅퀴곰
Captured Refugee	붙잡힌 난민
Captured Scarlet Zealot	사로잡힌 붉은십자군 광신도
Captured Servant of Azora	사로잡힌 아조라의 하인
Captured Sprite Darter	사로잡힌 화살요정용
Captured Stallion	사로잡힌 말
Caravan Escort	캐러밴 호송
Caravan Kodo	수레 코도
Caravan Master Tset	순례자 티셋
Caravan Mule	보급품 실은 노새
Caravaneer Ruzzgot	행상 러즈고트
Carendin Halgar	카렌딘 할가르
Caretaker Alaric	관리인 알라리크
Caretaker Alen	관리인 알렌
Caretaker Brambleclaw	관리인 가시발톱
Caretaker Caice	관리인 카이스
Caretaker Folsom	관리인 폴좀
Caretaker Nevlin	관리인 네블린
Caretaker Smithers	관리인 스미더스
Caretaker Weston	관리인 웨스턴
Carla Granger	칼라 그랑거
Carlin Redpath	카를린 레드패스
Carlo Aurelius	칼로 아우렐리우스
Carnivous the Breaker	파괴자 카니버스
Carolai Anise	캐롤라이 아니즈
Carolyn Ward	케럴린 워드
Carrion Devourer	걸신들린 청소부구더기
Carrion Grub	청소부구더기
Carrion Horror	공포의 대머리수리
Carrion Lurker	청소부 늑대거미
Carrion Recluse	청소부그늘거미
Carrion Scarab	지하쇠똥구리
Carrion Spinner	청소부 그물거미
Carrion Swarmer	청소부딱정벌레
Carrion Vulture	청소부 독수리
Carus Silversnow	카루스 실버스노우
Carver Molsen	카버 몰슨
Caryssia Moonhunter	캐리시아 문헌터
Cassie Copperlight	캐시 코퍼라이트
Cat	고양이
Cat Form (Night Elf Druid)	표범 형상 (나이트 엘프 드루이드)
Cat Form (Tauren Druid)	표범 형상 (타우렌 드루이드)
Catelyn the Blade	검술의달인 케이틀린
Catherine Leland	캐서린 리랜드
Cauldron Lord Bilemaw	가마솥군주 창자아귀
Cauldron Lord Malvinious	가마솥군주 말비니어스
Cauldron Lord Razarch	가마솥군주 라자르취
Cauldron Lord Soulwrath	가마솥군주 성난망령
Cavalier Durgen	기병 드루겐
Cave Creeper	굴거미
Cave Riding Spider	카베 탑승용 거미
Cave Stalker	긴다리동굴거미
Cave Yeti	동굴 설인
Cavern Lurker	동굴껍질괴물
Cavern Shambler	파괴의 동굴껍질괴물
Caverndeep Ambusher	깊은굴 복병
Caverndeep Burrower	깊은굴 땅꾼
Caverndeep Invader	깊은굴 침략꾼
Caverndeep Looter	깊은굴 노략꾼
Caverndeep Pillager	깊은굴 강탈꾼
Caverndeep Reaver	깊은굴 약탈꾼
Cavernweb Broodmother	동굴거미줄 브르우드모스엘
Cavernweb Creeper	동굴거미줄 크르이펠
Cavernweb Hatchling	동굴거미줄 새끼
Cavernweb Spider	동굴거미줄 거미
Cavernweb Venomspitter	동굴거미줄 베놈스핏텔
Cavindra	카빈드라
Cawind Trueaim	카윈드 트루에임
Caylais Moonfeather	케이레이 문피더
Caynrus	케인루스
Caz Twosprocket	카즈 투스프로켓
Cazul	카줄
Cedric Stumpel	케드릭 스텀펠
Cedrik Prose	세드릭 프로즈
Celebras the Cursed	저주받은 셀레브라스
Celebras the Redeemed	회복된 셀레브라스
Celebrian Dryad	셀레브라스의 드리아드
Celes Earthborne	켈레스 어스본
Celestial Construct	천상의 피조물
Celestial Fox	천상의 여우
Celestial Rabbit	천상의 토끼
Celestial Steed	천상의 군마
Celestial Tiger	천상의 호랑이
Celia Daywing	셀리아 데이윙
Cenarion Botanist	세나리온 식물학자
Cenarion Caretaker	세나리온 관리인
Cenarion Druid	세나리온 드루이드
Cenarion Emissary Blackhoof	세나리온 사절 블랙후프
Cenarion Emissary Jademoon	세나리온 사절 제이드문
Cenarion Hold Infantry	세나리온 요새 보초병
Cenarion Hold Reservist	세나리온 요새 보충병
Cenarion Outrider	세나리온 척후병
Cenarion Protector	세나리온 관리인
Cenarion Scout	세나리온 정찰병
Cenarion Scout Azenel	세나리온 정찰병 아제넬
Cenarion Scout Jalia	세나리온 정찰병 잘리아
Cenarion Scout Landion	세나리온 정찰병 란디온
Cenarion Vindicator	세나리온 문지기
Cenerron	세네론
Centaur Pariah	켄타우로스 추방자
Centipaar Sandreaver	모래무지 센티파르
Centipaar Stinger	독침 센티파르
Centipaar Swarmer	우두머리 센티파르
Centipaar Tunneler	땅꾼 센티파르
Centipaar Wasp	병정 센티파르
Centipaar Worker	일꾼 센티파르
Cerellean Whiteclaw	세렐리안 화이트클로
Cerisella	케리셀라
Cerulean Astronomer	청명한 천문학자
Cerulean Captain	청명한 캅트에이느
Cerulean Iceweaver	청명한 이케으이벨
Cerulean Whelp	청명한 새끼용
Chaddus Suncarrier	차두스 선캐리어
Chained Spirit	구속된 영혼
Chal Fairwind	찰 페이윈드
Chambermaid Pillaclencher	하녀 필라클렌처
Champion Coldmine Explorer	최정예 얼음이빨광산 측량관
Champion Coldmine Guard	최정예 얼음이빨광산 경비병
Champion Coldmine Invader	최정예 얼음이빨광산 점령군
Champion Coldmine Surveyor	최정예 얼음이빨광산 감독관
Champion Commando	최정예 특공대
Champion Defender	최정예 수호병
Champion Guardian	최정예 수호병
Champion Guardsman	최정예 보초병
Champion Irondeep Explorer	최정예 깊은무쇠광산 측량관
Champion Irondeep Guard	최정예 깊은무쇠광산 경비병
Champion Irondeep Raider	최정예 깊은무쇠광산 공격대원
Champion Irondeep Surveyor	최정예 깊은무쇠광산 감독관
Champion Legionnaire	최정예 용사
Champion Mountaineer	최정예 산악경비대
Champion Outrunner	최정예 정찰꾼
Champion Raggazi	챔피언 라가지
Champion Ranger	최정예 순찰자
Champion Razjal the Quick	용사 랏잘 쿠이크
Champion Reaver	최정예 돌격병
Champion Sentinel	최정예 파수꾼
Champion Taza'go	영웅 타자고
Champion Warrior	최정예 전사
Chardryn	차르드린
Charity Mipsy	자선단 밉시
Charles Seaton	탈리스 시톤
Charlga Razorflank	서슬깃 차를가
Charlie	치알르이
Charlie Gladstone	찰리 글래드스톤
Charlie Riley	찰리 라일리
Charlie the Cheerful	"쾌활한" 찰리
Charlotte	치알롯테
Charred Ancient	악에물든 고대정령
Charys Yserian	차리스 이세리안
Chatter	우두머리 집게턱타란툴라
Chaw Stronghide	초우 스트롱하이드
Cheese Wizard	치즈 이잘드
Cheetah Cub	치이타흐 새끼
Chef Borl	셰프 보를
Chef Breanna	주방장 브리아나
Chef Danonzo Laxjolt	요리사 다논조 랙스졸트
Chef Galadriel	요리사 갈라드리엘
Chef Grual	주방장 그루얼
Chef Jenkel	셰프 젠켈
Chef Jessen	주방장 예센
Chelly Saintsing	첼리 세인트싱
Chemist Cuely	연금술사 큘리
Chemist Fuely	연금술사 퓰리
Chemist Glowsight	화학자 글로우사이트
Chemist Lizzbang	화학자 리즈뱅
Chen Stormstout	첸 스톰스타우트
Chepi	체피
Cherox Whizzbake	치에록 우잇즈바케
Cherry	치엘리
Chesmu	체스무
Chester Cogburn	체스터 코그번
Chestnut	밤색
Chestnut Mare	적토마
Cheyenne Reynolds	샤이엔 레이놀즈
Chicken	닭
Chief Archaeologist Greywhisker	수석고고학자 그레이위스커
Chief Engineer Bilgewhizzle	선임기술자 빌지위즐
Chief Engineer Hinderweir VII	선임기술자 힌더바이르 7세
Chief Engineer Kalke	족장 기술자 칼케
Chief Expeditionary Requisitioner Enkles	원정대 보급 최고책임자 엔클스
Chief Hawkwind	족장 호크윈드
Chief Imaz'ul	이마즈울 족장
Chief Maulfist	족장 주먹분쇄자
Chief Murgut	족장 머구트
Chief Rnarl	족장 르날
Chief Shang	샹 대장
Chief Sharpclaw	족장 샤프클로
Chief Sharptusk Thornmantle	족장 뾰족어금니
Chief Ukorz Sandscalp	족장 우코르즈 샌드스칼프
Chieftain Bloodmaw	대족장 블러드모우
Chieftain Earthbind	족장 어스바인드
Chieftain Icepaw	아이스포 족장
Chieftain Nek'rosh	족장 네크로쉬
Chieftain Partath	족장 팔타스
Chieftain Razortusk	족장 레이저터스크
Chieftain Shalk Blackwind	족장 시알크 검은바람
Chieftain Stormsong	족장 스톨므소응
Chieftain Woh'zo	족장 워조
Chieftain's Kodo	족장의 코도
Chillwind Chimaera	서리바람 키메라
Chillwind Ravager	갈퀴발톱 서리바람 키메라
Chimaera Matriarch	우두머리 키메라
Chimaerok	키메로크
Chimaerok Devourer	굶주린 키메로크
Chixpixx	칙스픽스
Chloe Curthas	글로에 컬타스
Cho'gall	초갈
Cho'Rush the Observer	정찰병 초루쉬
Chok'Garok	초크가록
Chok'sul	초크술
Chomper	강철이빨바실리스크
Chradarmu	차라다르무
Christi Galvanis	크리스티 갈바니스
Christine Crawford	치릿티네 크로포드
Christmas Cannon Master Willey	크리스마스 포병대장 윌리
Christmas Darkmaster Gandling	크리스마스 암흑스승 간들링
Christmas Emperor Dagran Thaurissan	크리스마스 제왕 다그란 타우릿산
Christmas Goraluk Anvilcrack	크리스마스 고랄루크 앤빌크랙
Christmas Prince Tortheldrin	크리스마스 왕자 토르텔드린
Christmas War Master Voone	크리스마스 대장군 부네
Christmas Warchief Rend Blackhand	크리스마스 대족장 렌드 블랙핸드
Christoph Faral	크리스토프 패럴
Christoph Jeffcoat	크리스토프 제프코트
Christoph Walker	크리스토프 워커
Christopher Drakul	크리스토퍼 드라쿨
Christopher Hewen	크리스토퍼 히웬
Chromaggus	크로마구스
Chromatic Dragonspawn	오색용혈족
Chromatic Drake Mount	오색 비룡
Chromatic Drakonid	오색용기병
Chromatic Elite Guard	오색용혈족 정예병
Chromie	크로미
Chromie's Time Rift	크로미의 시간 균열
Chronalis	크로날리스
Chronar	크로나르
Chronormu	크로노르무
Chronos	크로노스
Chubb Goldstein	춥 골드스타인
Chucky "Ten Thumbs"	"왕손가락" 처키
Chylina	킬리나
Cinder Elemental	불꽃 정령
Cinder Scale Dragonspawn	잿불 비늘 드라곤스프오느
Cinder Scale Flamecaller	잿불 비늘 프라메칼렐
Cinder Scale Whelp	잿불 비늘 새끼용
Citadel Footman	성채 보병
Citadel Inquisitor	성채 심문관
Citadel Interrogator	성채 취조관
Citadel Preacher	요새 설교사
Citadel Valiant	성채 용사
Citadel Watchman	요새 파수꾼
Citadel Wizard	요새 마법사
Citizen Fredriks	시민 프레드릭스
Citizen Schreimeier	시민 슈레이마이어
Citizen Wilkes	민간인 윌키스
Cla'ckora	클라코라
Clack the Reaver	칼날집게발 딸깍이
Claira Kindfeather	클라이라 카인드페더
Claire Willower	클레어 윌로워
Clampjaw	클램조
Clara Charles	클라라 찰스
Clarice Foster	클라리스 포스터
Clarise Gnarltree	클라리즈 나알트리
Clattering Crawler	딸각게
Clattering Scorpid	집게발전갈
Claude Erksine	클라우드 에르크신
Clavicus Knavingham	클라비쿠스 네이빙햄
Claw Tentacle	갈고리 촉수
Clawlord Howlfang	발톱군주 하울팽
Cleansed Timberling	정화된 나무늪괴물
Clearwater Snapjaw	크르이르아텔 스납즈오
Cleft Scorpid	그늘전갈
Clemence the Counter	카운터 클레멘스
Cleo	클레오
Clerk Daltry	서기 달트리
Clerk Ebonmere	에본미어 서기
Clerk Horrace Whitesteed	서기관 호레이스 화이트스티드
Clerk Lendry	서기관 렌드리
Clewsee the Scourge	재앙의 클루시
Cliff Breaker	우레절벽거인
Cliff Giant	절벽거인
Cliff Hadin	클리프 하딘
Cliff Lurker	절벽늑대거미
Cliff Stormer	천둥절벽도마뱀
Cliff Thunderer	천둥절벽거인
Cliff Walker	절벽거인
Cliffwatcher Longhorn	절벽파수꾼 롱혼
Cloned Ectoplasm	분열된 세포괴물
Cloned Ooze	분열된 수액괴물
Cloud Serpent	구름천둥매
Cloud Skydancer	클라우드 스카이댄서
Cloudy Red Panda	구름빛 레서판다
Clover Spinpistol	클로버 스핀피스톨
Clunk	딸깍이
Clutchmother Zavas	여왕 자바스
Clyde "The Shaddy"	"음흉한" 클라이드
Clyde Kellen	클리데 켈렌
Clyde Ranthal	클라이드 랜덜
Coast Crawl Deepseer	점쟁이 바다마크루라
Coast Crawl Snapclaw	집게발 바다마크루라
Coast Strider	성큼걸이 모래거인
Coastal Frenzy	바다프렌지
Coastal Ripper	해안 찢개
Cobalt Armored Talbuk	타락한 불타는 토템
Cobalt Broodling	푸른비늘 새끼용
Cobalt Mageweaver	푸른비늘혈족 마술사
Cobalt Scalebane	푸른비늘혈족 맹독전사
Cobalt Talbuk	공포의 마귀
Cobalt Whelp	작은 푸른비늘 새끼용
Cobalt Wyrmkin	푸른비늘고룡족
Cobrahn Snake Form	코브란 뱀변신 형태
Cockatiel	왕관앵무
Cockatoo	나무줄기
Cockroach	바퀴벌레
Coco Gucci	코코 구찌
Codger of Shadows	그림자의 노인
Cody	코디
Cog Glitzspinner	코그 글리츠스피너
Colara Dean	콜라라 딘
Cold Eye Basilisk	얼음눈바실리스크
Cold Wraith	으스스한 망령
Coldhowl	콜드하울
Coldmine Explorer	얼음이빨광산 측량관
Coldmine Guard	얼음이빨광산 경비병
Coldmine Invader	얼음이빨광산 점령군
Coldmine Miner	얼음이빨광산 광부
Coldmine Peon	얼음이빨광산 일꾼
Coldmine Surveyor	얼음이빨광산 감독관
Coldridge Mountaineer	눈마루 산악경비대
Coleman Farthing	콜만 파딩
Collin Mauren	콜린 마우렌
Colonel Breen	브린 대령
Colonel Driscol	코로넬 드릿콜
Colonel Hardinus	하르디누스 대령
Colonel Kurzen	대령 쿠르젠
Colonel Zerran	사령관 제란
Colossal Anubisath Warbringer	거대한 아누비사스 전투병
Colossus of Ashi	아쉬 거대괴수
Colossus of Gorexxi	고렉시의 거상
Colossus of Regal	레갈 거대괴수
Colossus of Zora	조라 거대괴수
Colossus Researcher Eazel	거대괴수 연구원 이젤
Colossus Researcher Nestor	거대괴수 연구원 네스톨
Colossus Researcher Sophia	거대괴수 연구원 소피아
Comar Villard	코마 빌라드
Comar Villard Projection	코마 빌라드의 환영
Combat Dummy	훈련용 허수아비
Combat Master Criton	전투교관 크리톤
Combat Master Szigeti	전투교관 스지게티
Commander Aggnash	지휘관 악그나시
Commander Aggro'gosh	사령관 아그로고쉬
Commander Althea Ebonlocke	사령관 알시아 이본로크
Commander Amaren	사령관 아마렌
Commander Anarileth	아나릴레트 사령관
Commander Anashya Starfall	사령관 아나샤 스타폴
Commander Andreon	안드레온 사령관
Commander Ashlam Valorfist	사령관 아쉬람 발러피스트
Commander Baelos	사령관 베일로스
Commander Braedin	브레이든 사령관
Commander Dardosh	지휘관 다르도쉬
Commander Duffy	지휘관 더피
Commander Eligor Dawnbringer	십자군 사령관 엘리고르 돈브링어
Commander Felstrom	사령관 펠스트롬
Commander Gerastrasz	사령관 게라스트라자
Commander Gor'shak	사령관 고르샤크
Commander Grushak	그루샤크 사령관
Commander Karl Philips	지휘관 칼 필립스
Commander Korlag Doomsong	지휘관 콜락 파멸노래
Commander Leder	지휘관 레델
Commander Louis Philips	지휘관 루이스 필립스
Commander Malgor	지휘관 말고르
Commander Mar'alith	지휘관 마랄리스
Commander Mortimer	지휘관 몰티머
Commander Mulfort	지휘관 멀포트
Commander Randolph	지휘관 란돌프
Commander Samaul	사령관 사마울
Commander Springvale	사령관 스프링베일
Commander Starwind	지휘관 스타윈드
Commander Stronghammer	사령관 스트롱해머
Commander Thomas Helleran	사령관 토마스 헬러랜
Commando Harwall	특공대원 하월
Common Kitten	평범한 집고양이
Compact Harvest Reaper	소형 허수아비골렘 수확기
Concavius	콘카비우스
Condemned Acolyte	이승을 떠도는 수행사제
Condemned Cleric	이승을 떠도는 성직자
Condemned Monk	이승을 떠도는 수도사
Connor Rivers	코너 리버즈
Conquered Soul of the Blightcaller	지배된 블라이트콜러의 영혼
Conservationist Yalus	보존주의자 야루스
Conservator Ilthalaine	관리인 일사레인
Constance Brisboise	콘스턴스 브리스부아즈
Constantinus Hartford	콘스탄티누스 하트포드
Constrictor Vine	채찍줄기 덩굴손
Cook Ghilm	요리사 길름
Cook Harry	요리사 해리
Cook Lopperson	쿡 로프퍼슨
Cook Snickerfang	요리사 스니크엘파응
Cook Torka	요리사 토르카
Cookie	쿠키
Cor Grimtotem	코르 그림토템
Coral Moongale	코랄 문게일
Coral Shark	산호상어
Coralshell Lurker	등딱지 산호껍질거북
Coralshell Tortoise	산호껍질거북
Corand	코란드
Corbett Schneider	코베트 슈나이더
Core Hound	심장부 사냥개
Core Hound Pup	코어 하운드 강아지
Core Rager	흉포한 심장부 사냥개
Core Rat	화산쥐
Corey	코리
Corgi	콜기
Corina Steele	코리나 스틸
Corithras Moonrage	코리드라스 문레이지
Cork Gizelton	코르크 기젤톤
Cormac Gryffin	코맥 그리핀
Cornish Rex	주황얼룩고양이
Corporal Bluth	하사관 블루스
Corporal Carnes	하사관 칸스
Corporal Danmere	단메어 상병
Corporal Kaleb	하사관 칼레브
Corporal Keeshan	하사관 키샨
Corporal Melkins	하사관 멜킨스
Corporal Noreg Stormpike	하사관 노레그 스톰파이크
Corporal Ranworth	란워스 상병
Corporal Sethman	하사관 세스먼
Corporal Teeka Bloodsnarl	하사관 티카 블러드스날
Corporal Thund Splithoof	하사관 선드 스플릿후프
Corpse Scarab	송장 딱정벌레
Corpsemuncher	시체 처리자
Corroding Mass	부식하는 덩어리
Corroding Oozeling	부식하는 우제리응
Corroding Sludge	부식하는 스룯게
Corrosis	코로시스
Corrosive Backup	부식성 역류
Corrosive Lurker	부식성 녹괴물
Corrosive Sap Beast	부식성 수액괴물
Corrosive Swamp Ooze	부식성 늪수액괴물
Corrupt Force of Nature	타락한 자연의 군대
Corrupt Minor Manifestation of Water	타락한 하급 물의 현신
Corrupt Water Spirit	타락한 물의 정령
Corrupted Ashbringer	타락한 아시브리응엘
Corrupted Bloodtalon Scythemaw	오염된 붉은발톱랩터
Corrupted Blue Whelp	타락한 푸른 새끼용
Corrupted Bronze Defender	타락한 청동 수호자
Corrupted Bronze Whelp	타락한 청동 새끼용
Corrupted Cat	오염된 고양이
Corrupted Dreadmaw Crocolisk	오염된 철갑악어
Corrupted Feral Raptor	타락한 야성 랩터
Corrupted Fire Nova Totem V	타락의 불꽃 회오리 토템 V
Corrupted Green Whelp	타락한 녹색 새끼용
Corrupted Healing Stream Totem V	타락한 치유의 토템 V
Corrupted Infernal	타락한 지옥불정령
Corrupted Kitten	오염된 집고양이
Corrupted Mottled Boar	오염된 점박이멧돼지
Corrupted Red Whelp	타락한 붉은 새끼용
Corrupted Saber	오염된 호랑이
Corrupted Scorpid	오염된 전갈
Corrupted Spirit	타락한 영혼
Corrupted Stoneskin Totem VI	타락의 돌가죽 토템 VI
Corrupted Surf Crawler	오염된 붉은톱니게
Corrupted Totem	타락의 토템
Corrupted Warden of Time	타락한 시간의 파수꾼
